Package            Version  Latest    Type
------------------ -------- --------- -----
argon2-cffi        20.1.0   21.1.0    wheel
bleach             4.0.0    4.1.0     wheel
cffi               1.14.6   1.15.0    wheel
chardet            3.0.4    4.0.0     wheel
click              7.1.2    8.0.3     wheel
cryptography       3.4.8    35.0.0    wheel
debugpy            1.4.1    1.5.0     wheel
flake8             3.9.2    4.0.1     wheel
Flask              1.1.2    2.0.2     wheel
gunicorn           20.0.4   20.1.0    wheel
idna               2.10     3.3       wheel
ipython            7.27.0   7.28.0    wheel
ipywidgets         7.6.4    7.6.5     wheel
itsdangerous       1.1.0    2.0.1     wheel
Jinja2             2.11.3   3.0.2     wheel
joblib             1.0.1    1.1.0     wheel
jsonschema         3.2.0    4.1.0     wheel
jupyter-client     7.0.1    7.0.6     wheel
jupyterlab-widgets 1.0.0    1.0.2     wheel
kiwisolver         1.3.1    1.3.2     wheel
MarkupSafe         1.1.1    2.0.1     wheel
matplotlib         3.3.4    3.4.3     wheel
matplotlib-inline  0.1.2    0.1.3     wheel
nbclient           0.5.3    0.5.4     wheel
nbconvert          6.1.0    6.2.0     wheel
notebook           6.4.3    6.4.4     wheel
numpy              1.20.1   1.21.2    wheel
pandas             1.2.2    1.3.3     wheel
pandocfilters      1.4.3    1.5.0     wheel
pathspec           0.7.0    0.9.0     wheel
Pillow             8.1.0    8.4.0     wheel
pip                21.2.2   21.3      wheel
pycodestyle        2.7.0    2.8.0     wheel
pyflakes           2.3.1    2.4.0     wheel
pyOpenSSL          20.0.1   21.0.0    wheel
pyrsistent         0.17.3   0.18.0    wheel
python-dateutil    2.8.1    2.8.2     wheel
pytz               2021.1   2021.3    wheel
pyzmq              22.2.1   22.3.0    wheel
QtPy               1.10.0   1.11.2    wheel
regex              2021.8.3 2021.10.8 wheel
requests           2.24.0   2.26.0    wheel
scikit-learn       0.24.1   1.0       wheel
scipy              1.6.1    1.7.1     wheel
seaborn            0.11.1   0.11.2    wheel
setuptools         58.0.4   58.2.0    wheel
six                1.15.0   1.16.0    wheel
terminado          0.9.4    0.12.1    wheel
threadpoolctl      2.1.0    3.0.0     wheel
urllib3            1.25.11  1.26.7    wheel
Werkzeug           1.0.1    2.0.2     wheel
